Date,Category,Employee,Salary,Age,Visits,Rating
2023-01-01,Finance,Frank,88416.95,40,42,3.69
2023-01-02,Health,Bob,100063.26,40,84,4.89
2023-01-03,Finance,Frank,92193.44,35,75,4.51
2023-01-04,Finance,,88141.82,45,68,3.04
2023-01-05,Health,Alice,79655.84,35,6,1.22
2023-01-06,Education,,95212.59,25,68,2.8
2023-01-07,Health,,80631.1,25,47,1.08
2023-01-08,Health,,112424.11,45,3,2.77
2023-01-09,,,117456.39,,76,4.92
2023-01-10,,,76840.91,,52,2.44
2023-01-11,Finance,,105420.75,25,78,2.92
2023-01-12,Finance,Alice,not available,45,15,3.75
2023-01-13,Finance,Eve,not available,30,20,4.52
2023-01-14,Education,Bob,not available,45,99,4.67
2023-01-15,Finance,Grace,not available,30,58,1.87
2023-01-16,Health,Frank,not available,35,23,3.26
2023-01-17,Health,Frank,51415.29,35,79,4.46
2023-01-18,Finance,,108283.39,25,13,3.04
2023-01-19,,Bob,104470.97,30,85,4.67
2023-01-20,Education,Alice,110900.85,30,48,4.68
2023-01-21,,Alice,118503.28,30,49,1.33
2023-01-22,Finance,Eve,105941.1,30,69,2.11
2023-01-23,Health,,82303.56,40,41,1.04
2023-01-24,Finance,,104637.04,40,35,4.37
2023-01-25,,Bob,58279.21,35,64,3.59
2023-01-26,Education,Grace,94794.47,40,95,4.37
2023-01-27,Finance,Frank,60034.73,25,69,2.06
2023-01-28,Education,Heidi,116126.82,40,94,2.59
2023-01-29,,Frank,86529.38,,0,3.21
2023-01-30,Health,Heidi,79026.34,45,50,1.66
2023-01-01,Finance,Frank,88416.95,40,42,3.69
2023-01-02,Health,Bob,100063.26,40,84,4.89
,Finance,Frank,92193.44,35,75,4.51
